account_id,incoming_txns,outgoing_txns,time_between_txns,txn_amount_variance,unique_counterparties,txn_frequency,round_number_flag,reversal_flag,hour_of_day,account_age_days,label,reconstruction_error,intent_score,IAI,reconstruction_error_scaled,CCR,CCR_grade
2824,1,47,0.94,42160.44,9,32,0,0,23,2801,0,0.029169206468234236,0,0.01750152388094054,0.25661580936603257,0.7433841906339674,B
9935,5,37,0.91,23847.47,14,5,0,0,6,2099,1,0.038743681591774236,0,0.023246208955064542,0.3487541487297849,0.6512458512702151,B
4257,45,41,0.07,63531.64,18,54,0,1,18,3345,0,0.05136065061372872,1,0.43081639036823727,0.4701714127037265,0.5298285872962736,B
3615,44,27,1.56,17917.94,11,36,0,0,10,409,0,0.026483385551757332,0,0.015890031331054398,0.23076926677445114,0.7692307332255488,A
6881,22,38,2.62,57323.25,9,6,1,0,12,2291,0,0.027290518330215178,1,0.4163743109981291,0.23853657233361591,0.7614634276663841,A
6925,36,12,2.02,33456.3,3,6,0,1,2,3579,1,0.04317889610330042,1,0.4259073376619803,0.39143568422297503,0.608564315777025,B
5554,29,40,3.29,37400.8,12,21,1,1,6,1123,0,0.01672355276572686,2,0.8100341316594362,0.13684716934669489,0.8631528306533052,A
2169,38,40,2.43,45237.25,6,69,0,0,14,1135,0,0.024547958826934002,0,0.014728775296160401,0.21214401556386425,0.7878559844361357,A
4598,43,20,0.92,29759.71,2,30,0,1,12,301,0,0.02997291405916641,1,0.41798374843549985,0.2643501532132964,0.7356498467867036,B
6155,13,41,0.98,31750.62,16,51,1,0,8,1040,1,0.009972072701230177,1,0.4059832436207381,0.07187544469718701,0.928124555302813,A
9830,16,47,4.36,27336.88,19,55,1,1,7,2117,0,0.036408287068896254,2,0.8218449722413378,0.32627987517215296,0.673720124827847,B
1771,7,9,3.78,28203.03,6,88,1,0,12,2470,0,0.05681027279702393,1,0.4340861636782144,0.5226149285779457,0.47738507142205433,C
9669,16,35,0.43,16963.52,1,88,0,1,20,486,0,0.061743575382106265,1,0.43704614522926377,0.5700897302671617,0.4299102697328383,C
3591,29,0,2.38,30010.11,9,65,0,0,20,3477,0,0.03886805765492889,0,0.023320834592957335,0.3499510607033192,0.6500489392966808,B
4258,9,23,1.43,36683.36,6,70,0,1,15,488,1,0.026436449996495873,1,0.41586186999789754,0.2303175904096263,0.7696824095903737,A
6038,15,3,1.79,17255.05,8,73,0,0,23,3372,0,0.03196548805719277,0,0.019179292834315662,0.2835253515263776,0.7164746484736224,B
9727,49,8,1.45,39954.87,5,85,1,0,8,3603,1,0.027397866542358925,1,0.41643871992541537,0.23956961966759194,0.7604303803324081,A
4470,34,48,2.68,46003.6,7,92,1,1,21,1559,1,0.030734082540639716,2,0.8184404495243839,0.2716751291471259,0.7283248708528741,B
9479,28,7,0.09,35990.09,8,29,0,1,0,2298,1,0.019672186491600043,1,0.41180331189496006,0.16522284648704755,0.8347771535129525,A
