account_id,incoming_txns,outgoing_txns,time_between_txns,txn_amount_variance,unique_counterparties,txn_frequency,round_number_flag,reversal_flag,hour_of_day,account_age_days
2824,1,47,0.94,42160.44,9,32,0,0,23,2801
9935,5,37,0.91,23847.47,14,5,0,0,6,2099
4257,45,41,0.07,63531.64,18,54,0,1,18,3345
3615,44,27,1.56,17917.94,11,36,0,0,10,409
6881,22,38,2.62,57323.25,9,6,1,0,12,2291
6925,36,12,2.02,33456.3,3,6,0,1,2,3579
5554,29,40,3.29,37400.8,12,21,1,1,6,1123
2169,38,40,2.43,45237.25,6,69,0,0,14,1135
4598,43,20,0.92,29759.71,2,30,0,1,12,301
6155,13,41,0.98,31750.62,16,51,1,0,8,1040
9830,16,47,4.36,27336.88,19,55,1,1,7,2117
1771,7,9,3.78,28203.03,6,88,1,0,12,2470
9669,16,35,0.43,16963.52,1,88,0,1,20,486
3591,29,0,2.38,30010.11,9,65,0,0,20,3477
4258,9,23,1.43,36683.36,6,70,0,1,15,488
6038,15,3,1.79,17255.05,8,73,0,0,23,3372
9727,49,8,1.45,39954.87,5,85,1,0,8,3603
4470,34,48,2.68,46003.6,7,92,1,1,21,1559
9479,28,7,0.09,35990.09,8,29,0,1,0,2298
4608,0,4,1.23,14522.31,2,30,0,0,10,2135
8953,13,34,3.25,16258.55,5,93,1,0,15,809
8062,22,27,0.22,25862.47,14,60,0,0,1,3012
2790,15,12,2.79,19863.77,7,69,1,0,13,1170
2235,28,35,0.18,43155.43,4,7,0,0,7,1694
4502,25,3,1.26,20362.82,6,49,0,1,8,1198
8973,9,12,1.99,40179.64,10,28,0,0,23,264
8811,32,33,8.57,43248.59,6,8,0,0,2,308
4853,25,7,7.01,41052.78,19,32,0,0,13,2420
6183,16,13,0.28,36816.28,11,31,1,1,4,2673
6180,48,4,4.19,44727.19,1,59,0,0,17,2102
6718,4,15,1.95,32851.97,12,37,0,1,17,2535
9666,0,42,2.2,18112.97,18,39,0,0,8,468
